email_address,email_type,email_perm, email_freq
nicoleberry@gmail.com,Personal,Opt-Out,14
donald83@example.org,Unknown,Opt-Out,14
ryoung@example.net,Unknown,Opt-In,21
williamsalice@edwards-mckinney.com,Work,Opt-Out,7
michaelmendoza@example.com,Unknown,Opt-In,14
kenneth56@williams.com,Work,Opt-Out,30
matthew10@example.net,Other,Opt-Out,21
hancockkatherine@example.net,Unknown,Unkown,14
christopherwilliams@example.net,Unknown,Unkown,21
mbutler@farmer.com,Work,Opt-Out,30
kristabarron@example.org,Other,Unkown,21
amy26@torres-bennett.net,Work,Opt-In,14
brownkayla@hotmail.com,Home,Opt-Out,14
alexanderdonna@smith-walker.org,Home,Opt-In,14
jordanwilliam@stewart.com,Work,Opt-Out,14
brownjesus@howard-strickland.biz,Work,Opt-Out,7
mmckinney@gmail.com,Personal,Opt-Out,21
wellsomar@martinez-luna.org,Work,Opt-Out,21
camposkiara@example.net,Unknown,Unkown,21
mariowhite@example.net,Other,Unkown,14
henrydean@burton-lam.info,Work,Opt-Out,21
shermanjeffrey@example.com,Unknown,Opt-In,14
monicafranklin@example.net,Unknown,Unkown,21
psmith@example.com,Other,Opt-In,14
stephaniemorgan@yahoo.com,Personal,Opt-In,1
gmoss@gray-braun.com,Work,Opt-In,7
hallleah@example.com,Other,Opt-In,21
tammy88@black.com,Home,Unkown,1
gjohnston@example.com,Other,Unkown,14
elizabeth77@example.org,Unknown,Opt-In,21
millerjacob@gmail.com,Personal,Opt-In,14
cody36@hotmail.com,Personal,Opt-Out,7
sstanley@lopez.com,Work,Opt-In,7
kcrawford@example.com,Other,Opt-Out,21
gordonjames@example.com,Other,Opt-In,14
georgeholloway@yahoo.com,Home,Opt-In,21
kristen69@hotmail.com,Personal,Unkown,7
tgraves@hensley.com,Work,Opt-Out,14
james25@example.com,Unknown,Opt-Out,21
qromero@yahoo.com,Personal,Opt-In,1
courtneyphillips@harris-zimmerman.info,Work,Opt-Out,7
martinezdonna@cox.org,Work,Opt-Out,7
april89@example.com,Unknown,Unkown,14
christopherholder@gmail.com,Personal,Opt-In,1
yrodriguez@example.org,Unknown,Opt-Out,14
roachemily@hotmail.com,Personal,Opt-In,1
bmoore@sanchez-bright.com,Home,Opt-In,14
erin45@gmail.com,Personal,Unkown,7
krystalbrooks@example.net,Other,Opt-Out,21
yjohns@example.net,Unknown,Unkown,14
clarkterri@hotmail.com,Personal,Opt-In,21
powelltracey@weaver-burch.com,Work,Opt-In,14
josephgonzalez@example.org,Other,Opt-In,14
ekim@moran-griffin.biz,Work,Opt-Out,14
nicole68@guerrero-george.com,Work,Opt-In,7
krystal77@example.com,Unknown,Unkown,14
whodges@example.com,Other,Opt-In,21
kstephens@example.com,Unknown,Opt-In,21
ujenkins@example.com,Unknown,Opt-In,14
andersonsusan@yahoo.com,Home,Opt-In,7
hramos@yahoo.com,Home,Unkown,7
shuber@example.com,Unknown,Opt-Out,21
alopez@yahoo.com,Home,Opt-In,14
tracy45@yahoo.com,Personal,Unkown,7
youngalexandra@gmail.com,Personal,Opt-In,1
daviskaren@black-robinson.org,Work,Opt-In,7
yvilla@hotmail.com,Personal,Opt-In,7
timothy99@jones.info,Home,Unkown,1
jose43@yahoo.com,Personal,Unkown,1
liandrea@example.org,Other,Opt-In,21
qlewis@gonzalez.com,Work,Opt-Out,14
mariohayes@green-munoz.info,Work,Opt-In,21
richardsonchristine@mitchell.biz,Home,Opt-Out,21
nathan49@example.com,Other,Unkown,14
twells@example.net,Other,Opt-Out,14
luismartinez@hart.com,Work,Opt-In,7
sjones@yahoo.com,Personal,Opt-In,7
angela02@hotmail.com,Home,Opt-In,21
oscarterry@example.org,Unknown,Opt-In,21
johnkim@example.org,Other,Opt-Out,14
raymondfox@hotmail.com,Personal,Opt-Out,21
jamesmyers@spencer.biz,Home,Opt-Out,7
rarmstrong@example.org,Other,Opt-In,14
avalenzuela@example.net,Unknown,Opt-Out,14
mcintyreclaudia@example.org,Other,Opt-In,14
ortegasusan@example.net,Other,Opt-Out,14
qbruce@yahoo.com,Personal,Opt-Out,1
aaron72@hotmail.com,Personal,Opt-In,14
joseph47@example.com,Other,Opt-In,21
bknapp@hotmail.com,Personal,Opt-In,7
christophermoss@example.com,Other,Unkown,14
westaustin@yahoo.com,Home,Opt-In,1
julie19@yahoo.com,Home,Opt-In,14
dnguyen@lawrence.com,Home,Unkown,14
meganriley@cochran.org,Work,Opt-In,30
charlesmorales@hotmail.com,Personal,Opt-In,7
randyprice@nelson.com,Work,Opt-Out,14
yrasmussen@example.net,Unknown,Opt-In,14
kimberly29@example.net,Unknown,Unkown,21
chelseasmith@hotmail.com,Personal,Opt-In,14
nkelley@hotmail.com,Personal,Opt-In,21
raymondmadden@yahoo.com,Home,Unkown,21
ysmith@yahoo.com,Personal,Unkown,1
rgarcia@example.net,Unknown,Opt-In,14
ryanpowers@castillo-cole.com,Work,Opt-In,7
vspencer@example.org,Other,Opt-Out,21
wtaylor@example.org,Unknown,Opt-In,21
schen@baker.info,Work,Opt-Out,14
hayestravis@example.net,Other,Opt-Out,21
billduncan@yahoo.com,Personal,Opt-Out,21
leewilliam@hotmail.com,Personal,Opt-Out,21
wking@hotmail.com,Home,Unkown,7
john83@example.net,Unknown,Opt-Out,14
mccallantonio@hotmail.com,Personal,Unkown,7
annaholloway@example.net,Other,Unkown,14
rileyjamie@mccormick-brown.com,Home,Unkown,14
ashleymorgan@wilson-khan.com,Home,Unkown,21
amanda23@yahoo.com,Personal,Opt-In,21
kelleysean@hotmail.com,Personal,Opt-Out,7
raymondanderson@moran-flores.com,Work,Opt-Out,14
xrichardson@gmail.com,Personal,Opt-In,21
aprilmartinez@example.org,Other,Opt-In,14
hwebb@example.com,Other,Opt-Out,14
wilsonwanda@gmail.com,Personal,Opt-Out,21
ericspence@example.com,Unknown,Opt-Out,14
jfinley@thompson-marquez.org,Work,Opt-In,21
josephknight@davis.biz,Work,Opt-In,7
nroy@scott.com,Work,Opt-In,7
matthew68@example.com,Other,Opt-In,21
leegonzalez@example.org,Other,Opt-In,14
ramirezabigail@example.net,Unknown,Opt-In,14
jwhite@example.org,Other,Unkown,21
shawnharrison@yahoo.com,Home,Opt-In,14
jeffrey81@hotmail.com,Home,Opt-In,21
john43@example.org,Unknown,Opt-In,14
vward@petersen-bishop.com,Work,Opt-In,30
samuel08@example.net,Other,Opt-In,14
oconnellshelby@gmail.com,Personal,Unkown,1
bperez@figueroa.com,Work,Opt-Out,30
josemorris@example.net,Other,Opt-In,14
adamsluke@example.org,Unknown,Opt-Out,14
hdudley@jensen.biz,Home,Opt-In,1
dale53@example.com,Unknown,Opt-In,14
shamilton@davis-fitzpatrick.org,Work,Opt-In,30
meyertravis@schultz-todd.com,Work,Opt-Out,14
crios@hotmail.com,Home,Opt-In,21
graycindy@hotmail.com,Personal,Opt-Out,21
alexander09@example.net,Unknown,Opt-In,14
hurstmorgan@example.org,Other,Unkown,21
vrobinson@fleming.org,Home,Opt-In,14
andrewrodriguez@robertson.com,Work,Opt-In,14
frenchdawn@example.com,Unknown,Opt-In,21
mcdanielmitchell@example.org,Unknown,Opt-In,14
sarahwelch@gmail.com,Home,Unkown,14
uharris@hotmail.com,Home,Opt-In,14
taraward@hotmail.com,Home,Opt-In,14
josephstevenson@example.org,Other,Opt-In,14
ahenry@example.org,Other,Unkown,21
agarcia@hill.com,Work,Opt-In,7
monicaroman@wilcox.biz,Work,Opt-Out,30
qlopez@mcpherson.com,Work,Opt-Out,21
fbeck@yahoo.com,Personal,Opt-Out,7
goodmancody@gmail.com,Personal,Opt-Out,7
jennifer27@example.net,Other,Opt-In,21
aryan@example.com,Other,Opt-In,21
jharris@hotmail.com,Home,Opt-In,14
leejennifer@thomas.com,Work,Opt-Out,14
michelle59@smith.com,Home,Opt-In,1
angela34@yahoo.com,Personal,Opt-In,21
sgill@gmail.com,Personal,Opt-In,14
cantrellgary@marshall.com,Work,Opt-Out,7
ryanalvarado@friedman.net,Work,Opt-In,21
wford@example.org,Other,Opt-In,21
greencindy@brown-swanson.info,Work,Opt-Out,14
flynndanielle@pierce-juarez.com,Work,Opt-Out,14
silvaalexis@yahoo.com,Personal,Opt-In,7
fcampbell@padilla.com,Work,Opt-Out,7
maciasjames@example.net,Other,Opt-In,21
savannahlarsen@hoffman.com,Home,Unkown,7
hcampbell@gmail.com,Home,Opt-Out,21
joshua54@rodriguez.com,Work,Opt-In,7
samantha27@yahoo.com,Home,Opt-In,14
heidijones@example.net,Unknown,Unkown,14
christopher03@sweeney.org,Work,Opt-In,21
nguyenshannon@hotmail.com,Personal,Opt-In,1
james19@hotmail.com,Home,Opt-Out,14
philipbeasley@example.org,Other,Opt-In,14
littlelauren@example.net,Unknown,Opt-Out,21
mollyclark@yahoo.com,Personal,Unkown,7
shermanhannah@murphy.net,Work,Opt-Out,7
angelarobinson@hotmail.com,Personal,Opt-In,1
alexandernixon@example.net,Other,Unkown,21
michaelrogers@example.com,Unknown,Opt-In,21
heather77@example.net,Other,Opt-In,21
brianna57@bradley-davis.info,Work,Opt-In,30
jade19@mueller-carter.com,Work,Opt-In,21
jennifer23@example.org,Unknown,Opt-Out,21
cynthia18@example.net,Unknown,Opt-In,21
jim88@example.com,Unknown,Opt-Out,14
lorettaatkinson@shaw-smith.info,Work,Opt-In,30
johnanderson@gmail.com,Personal,Unkown,7
leegary@lee.com,Work,Opt-In,7
robersontaylor@example.com,Unknown,Opt-In,14
qgoodman@example.org,Unknown,Opt-In,14
twilliams@gmail.com,Personal,Unkown,7
mspears@rodriguez-newton.org,Home,Unkown,1
pwalker@example.org,Unknown,Opt-Out,14
thomas23@blair-ramirez.org,Work,Opt-Out,14
david28@martinez.com,Home,Opt-In,1
ifrederick@hotmail.com,Personal,Opt-Out,21
marciaquinn@thompson-ortiz.com,Work,Opt-In,30
whoward@nguyen.biz,Work,Opt-Out,14
daniel41@example.net,Other,Opt-In,21
david33@gmail.com,Personal,Opt-In,1
henryhebert@hotmail.com,Home,Opt-Out,14
sreed@harding.com,Home,Opt-In,1
bmartinez@arias-patterson.net,Work,Opt-In,21
danielle62@yahoo.com,Personal,Opt-In,14
youngisabel@example.com,Unknown,Opt-Out,21
codycoffey@example.org,Unknown,Unkown,21
karlamarshall@yahoo.com,Personal,Opt-In,21
jacob87@example.com,Other,Opt-In,14
dalemiranda@robinson.org,Home,Opt-In,1
abigailjohnston@gmail.com,Personal,Opt-In,1
jared25@yahoo.com,Personal,Unkown,21
perryaustin@bernard.com,Work,Opt-In,14
xolsen@nelson.info,Home,Opt-In,7
dawnhatfield@crosby.biz,Work,Opt-In,14
nicolesmith@example.net,Unknown,Opt-In,14
jmiller@hotmail.com,Home,Opt-In,7
sscott@example.net,Unknown,Unkown,14
griffinchristopher@castaneda-rodriguez.com,Work,Opt-Out,30
ashley64@johnson-friedman.net,Work,Opt-Out,21
jack62@example.org,Other,Opt-In,21
paulherring@hotmail.com,Home,Opt-In,21
ricky92@example.net,Other,Unkown,14
edward95@hotmail.com,Home,Opt-Out,14
jacksonrichard@gmail.com,Home,Opt-Out,7
batesbrenda@example.org,Other,Opt-In,14
whitealice@example.org,Other,Opt-Out,21
fishercharles@example.com,Unknown,Opt-In,14
heatherburnett@perez.net,Work,Opt-In,30
dkeller@yahoo.com,Personal,Opt-In,21
jennifer65@yahoo.com,Personal,Opt-Out,21
joescott@hotmail.com,Personal,Opt-Out,14
josephperry@example.net,Unknown,Opt-In,21
sgomez@example.net,Other,Opt-In,21
emily91@example.net,Other,Unkown,14
amy28@example.org,Other,Unkown,14
staffordsamuel@taylor.com,Home,Opt-In,14
charlesboyer@vargas-thomas.com,Home,Opt-Out,21
maureenholden@example.org,Other,Opt-In,21
shenderson@yahoo.com,Home,Opt-In,1
jennifer96@gmail.com,Home,Opt-In,7
jason10@yahoo.com,Home,Opt-In,14
mistystewart@hotmail.com,Personal,Opt-In,7
twarren@example.net,Other,Unkown,21
fweeks@zhang.net,Work,Opt-Out,7
jason26@example.net,Unknown,Unkown,14
warrenjoseph@example.com,Other,Opt-Out,14
soniaharvey@hotmail.com,Home,Unkown,21
caleb57@gmail.com,Personal,Opt-Out,7
brownmonica@yahoo.com,Personal,Opt-Out,21
smithlauren@yahoo.com,Personal,Opt-Out,21
curtisscott@example.net,Other,Opt-In,14
danielmason@hotmail.com,Home,Opt-Out,1
colleen99@daniels.org,Home,Unkown,21
hollandwhitney@yahoo.com,Personal,Opt-Out,21
sallyhall@hotmail.com,Personal,Opt-Out,14
imendez@hotmail.com,Home,Opt-In,1
stanleypatrick@yahoo.com,Personal,Unkown,21
daryl47@yahoo.com,Personal,Opt-In,21
suemccarthy@example.com,Other,Opt-Out,14
yali@example.net,Unknown,Unkown,21
meyersdonna@yahoo.com,Personal,Unkown,14
walsheric@yahoo.com,Home,Opt-Out,1
gibsonsamantha@example.org,Other,Opt-Out,14
dukematthew@example.net,Other,Opt-In,21
smithheather@example.net,Unknown,Opt-In,21
tatezachary@guzman.com,Work,Opt-In,14
brenda15@example.com,Unknown,Unkown,21
cmorton@bates-davis.com,Work,Opt-Out,14
karahopkins@nguyen.info,Work,Opt-Out,30
morriscassandra@bentley.info,Home,Opt-In,1
heatherharris@hotmail.com,Personal,Opt-In,21
hessstephen@butler.com,Work,Opt-Out,30
bwalker@example.org,Other,Opt-In,21
hjackson@example.org,Unknown,Unkown,21
qmiller@ramirez.com,Work,Opt-Out,7
sean26@yahoo.com,Home,Opt-In,21
torresmichael@yahoo.com,Personal,Unkown,1
susangraham@chen-jefferson.com,Home,Unkown,7
travis76@example.org,Other,Opt-In,14
fmendoza@example.org,Other,Unkown,21
michelleyang@example.net,Unknown,Opt-In,14
reedjames@example.com,Other,Opt-Out,21
jlove@example.com,Unknown,Opt-In,21
nicholaswalsh@example.org,Unknown,Opt-In,14
hayesgary@powers.com,Home,Unkown,1
ibrown@example.net,Other,Opt-Out,14
alisonheath@example.com,Other,Unkown,14
jasondavis@pierce.com,Work,Opt-In,7
xhill@example.com,Other,Opt-In,21
morrismichelle@galloway.com,Work,Opt-In,21
wguerrero@example.net,Other,Unkown,14
brandiking@anderson-curtis.net,Work,Opt-Out,21
ebates@example.net,Other,Opt-In,21
andreanixon@example.net,Unknown,Opt-In,21
sanderslaurie@example.com,Other,Opt-In,14
misty86@bean.com,Work,Opt-Out,30
vlewis@hotmail.com,Personal,Opt-Out,1
uhamilton@example.net,Other,Unkown,14
patrick56@example.org,Other,Opt-Out,14
qwebb@example.com,Other,Unkown,14
hclark@example.net,Other,Opt-In,21
seananderson@gmail.com,Personal,Unkown,21
robertlarson@yahoo.com,Personal,Opt-In,14
kristencaldwell@benitez.info,Home,Opt-Out,1
ywebb@garcia-douglas.com,Home,Opt-In,14
ryan73@gmail.com,Personal,Unkown,21
william36@brooks-avery.com,Work,Opt-Out,21
pamelaparker@jackson-vasquez.com,Work,Opt-In,30
morrisonshawn@example.com,Other,Opt-In,21
stephenclark@gmail.com,Home,Unkown,21
millertyler@example.org,Other,Opt-In,14
keith91@eaton.biz,Work,Opt-Out,7
chaseduarte@snyder-rodriguez.biz,Home,Opt-Out,21
lford@gmail.com,Home,Opt-Out,1
nathaniel88@example.org,Unknown,Unkown,21
campbellemily@yahoo.com,Home,Unkown,7
cynthiarobbins@example.com,Unknown,Unkown,21
plucero@turner.com,Home,Opt-In,1
melissa34@williams-jarvis.com,Home,Opt-In,1
douglasmatthew@yahoo.com,Home,Opt-In,14
john13@example.net,Other,Unkown,21
dsmith@sloan.net,Home,Opt-In,14
yoderelizabeth@hotmail.com,Personal,Opt-Out,7
evansamber@example.org,Unknown,Opt-In,21
russellnatalie@example.com,Other,Opt-In,14
dylan05@example.com,Unknown,Opt-In,21
warrenstephanie@yahoo.com,Personal,Opt-Out,1
bethany29@example.com,Unknown,Opt-Out,21
zbridges@example.com,Other,Opt-In,14
georgeballard@example.com,Unknown,Opt-In,14
sarah00@hotmail.com,Personal,Opt-In,21
shelley80@gmail.com,Personal,Opt-In,21
lchambers@romero.com,Work,Opt-In,14
esimmons@example.com,Unknown,Opt-In,14
davidmayer@yahoo.com,Personal,Opt-In,14
nicole45@gmail.com,Personal,Opt-Out,14
patricia11@gmail.com,Personal,Opt-In,7
jsanchez@hotmail.com,Home,Unkown,21
hodgekeith@wilkins.net,Work,Opt-Out,14
ashley72@jones-armstrong.com,Home,Opt-In,1
brayjason@burton.net,Home,Unkown,21
emily45@example.net,Other,Opt-In,14
youngangel@example.org,Unknown,Opt-Out,21
melissaharris@example.org,Other,Opt-Out,21
robert00@gmail.com,Personal,Unkown,14
mia74@example.net,Unknown,Unkown,21
zachary99@mack.net,Work,Opt-In,14
hudsonandrew@carpenter-moore.com,Work,Opt-Out,30
hbell@bell.net,Work,Opt-In,7
gbarber@example.com,Unknown,Opt-In,21
keith66@cooper.com,Work,Opt-In,14
jessica29@example.org,Unknown,Unkown,14
smithlaura@yahoo.com,Personal,Unkown,14
dthomas@gmail.com,Personal,Opt-In,21
jeremy68@gmail.com,Home,Unkown,14
sarah75@example.com,Unknown,Opt-In,21
stevenserrano@yahoo.com,Personal,Unkown,7
nfarmer@pierce.org,Work,Opt-In,14
karen32@gmail.com,Home,Opt-In,14
waltonmichael@johnson.com,Home,Unkown,1
bradleypena@vazquez.net,Work,Opt-Out,14
xmiller@hotmail.com,Personal,Opt-Out,1
marythompson@example.net,Other,Opt-In,14
qjones@gardner.com,Home,Unkown,7
john02@example.net,Other,Opt-Out,21
umoore@garza.net,Work,Opt-In,21
msutton@example.com,Other,Opt-In,21
james30@example.net,Other,Opt-In,21
geralddorsey@example.org,Other,Opt-In,14
ericramos@example.net,Unknown,Opt-In,14
zbrown@example.com,Other,Opt-In,21
yhunt@example.org,Other,Opt-In,21
wwelch@yahoo.com,Personal,Unkown,1
lmiller@example.net,Unknown,Opt-In,14
torrescrystal@murphy-harris.com,Work,Opt-Out,7
davidmorris@example.com,Other,Opt-Out,21
joseph69@yahoo.com,Personal,Opt-Out,7
jeffrey01@richards-noble.biz,Home,Unkown,21
sjones@example.com,Unknown,Unkown,14
brittany52@french.com,Home,Opt-Out,7
bowmanrebecca@example.net,Unknown,Opt-In,14
richardsmadison@example.org,Other,Opt-In,14
holly11@williams.info,Work,Opt-In,30
megan05@flores.org,Home,Opt-In,1
jack91@example.org,Other,Unkown,14
bhall@example.com,Other,Opt-In,21
brandon64@example.org,Unknown,Unkown,14
andrewlee@gmail.com,Personal,Unkown,14
nunezmelissa@stevens.info,Home,Opt-Out,14
benjaminconway@hotmail.com,Personal,Opt-In,14
crystal13@martin.net,Work,Opt-Out,21
christopher17@hotmail.com,Home,Opt-In,7
sethdavis@example.com,Other,Unkown,14
glennlisa@hotmail.com,Personal,Opt-In,21
hernandezcharles@yahoo.com,Personal,Opt-Out,7
wrobbins@norton-ryan.com,Work,Opt-In,14
kristin46@example.net,Unknown,Opt-In,21
jacobhill@hernandez.biz,Work,Opt-Out,7
gabrielle19@example.com,Unknown,Opt-Out,14
ucarter@example.net,Other,Unkown,21
terri31@gmail.com,Personal,Opt-In,21
edwardnguyen@hotmail.com,Personal,Unkown,7
frankscott@example.com,Unknown,Opt-In,14
david67@example.org,Unknown,Opt-In,14
julie77@hotmail.com,Personal,Opt-In,7
powellbradley@gmail.com,Personal,Opt-Out,14
kathryn88@example.com,Unknown,Unkown,21
clarkdeborah@example.org,Other,Unkown,21
richard64@example.net,Unknown,Opt-In,14
qgarcia@hotmail.com,Personal,Opt-Out,1
debra72@johnson.org,Work,Opt-Out,14
khanchristine@example.com,Other,Opt-Out,14
agraves@yahoo.com,Personal,Opt-In,21
nwilliams@alvarado.net,Home,Opt-In,1
carl18@example.net,Other,Opt-Out,14
williamsgarrett@yahoo.com,Home,Opt-Out,7
laurenwest@johnson.info,Work,Opt-Out,21
leonardwashington@moss.com,Home,Opt-In,7
brandi22@yahoo.com,Personal,Opt-In,14
williamsmatthew@example.net,Other,Opt-Out,14
kimberlytorres@hotmail.com,Personal,Opt-In,14
barrettjohn@example.org,Other,Opt-In,14
tgonzalez@hotmail.com,Personal,Opt-Out,7
lpruitt@example.com,Unknown,Unkown,21
krystalthomas@example.org,Unknown,Opt-In,14
michaelberry@gmail.com,Personal,Opt-In,14
vgarcia@example.org,Other,Unkown,21
kristine22@gmail.com,Home,Opt-In,14
nday@example.com,Other,Opt-Out,21
ssalazar@hotmail.com,Personal,Opt-Out,14
miguel52@example.net,Unknown,Opt-In,14
collinserik@yahoo.com,Personal,Opt-Out,14
vgutierrez@example.org,Other,Unkown,14
natashalee@example.net,Other,Opt-In,21
jessica63@example.org,Other,Unkown,14
jharris@hotmail.com,Personal,Opt-In,1
davidperez@gates.info,Work,Opt-Out,14
frazierchristopher@hotmail.com,Personal,Unkown,21
ygilbert@example.net,Unknown,Opt-Out,14
corey34@example.net,Other,Opt-In,14
prestonlisa@gardner.com,Work,Opt-Out,14
nhughes@gmail.com,Home,Unkown,21
robinsonamanda@wood.com,Home,Opt-In,21
troberts@blake.com,Home,Opt-Out,7
parkerbrandon@example.com,Other,Unkown,21
cookjoshua@herring.com,Work,Opt-In,7
geoffrey87@hotmail.com,Personal,Opt-Out,14
parkbrian@martinez.net,Home,Opt-In,21
mccoyalexander@example.org,Other,Unkown,14
ronaldmarsh@gmail.com,Personal,Unkown,21
richarddelgado@example.net,Other,Opt-Out,21
matthew85@example.org,Unknown,Opt-In,21
craigbryant@crosby.net,Home,Opt-In,7
laurahanna@example.com,Other,Opt-In,21
andrew12@gmail.com,Personal,Unkown,21
williamschristopher@hotmail.com,Personal,Unkown,21
brownlauren@example.com,Other,Unkown,21
kyle69@yahoo.com,Personal,Opt-Out,7
blake56@fuentes-flores.com,Work,Opt-In,21
jennifer09@brown-elliott.com,Home,Opt-In,1
larry66@harrison.com,Home,Opt-In,1
ggriffin@example.net,Other,Opt-In,14
philipanderson@example.net,Unknown,Opt-Out,21
alopez@hotmail.com,Personal,Opt-In,14
shafferadam@sandoval.com,Home,Opt-Out,14
moralesann@example.org,Unknown,Opt-In,21
anthony64@example.org,Other,Unkown,14
rsmith@example.com,Unknown,Unkown,14
sharonlove@hansen-perkins.net,Home,Opt-In,7
jason63@sanchez.net,Work,Opt-In,30
qsmith@example.org,Other,Unkown,14
dylanliu@nolan-anderson.biz,Work,Opt-In,21
watsonjill@yahoo.com,Personal,Unkown,14
owaters@scott-williamson.net,Work,Opt-Out,21
vanessawalton@example.net,Other,Opt-In,14
brennansteven@hotmail.com,Personal,Opt-In,7
katrina89@smith-gonzalez.com,Home,Opt-In,21
fbarrera@yahoo.com,Personal,Opt-Out,21
vwilliams@gmail.com,Home,Opt-Out,21
harry86@hopkins-long.com,Work,Opt-Out,14
vsanchez@example.com,Unknown,Opt-In,21
robert75@johnson.info,Work,Opt-Out,14
diane19@example.org,Other,Opt-Out,21
samanthanicholson@valdez-daniel.net,Work,Opt-In,21
millervickie@example.org,Unknown,Unkown,14
zmoore@hotmail.com,Personal,Opt-In,21
davidwalker@gordon-andrews.com,Work,Opt-In,14
cherylphillips@blackburn-jacobs.com,Work,Opt-Out,7
joseph62@hotmail.com,Home,Unkown,7
bryanttony@example.org,Unknown,Opt-Out,14
alan81@hotmail.com,Personal,Opt-In,21
scarr@hotmail.com,Personal,Opt-In,1
ekrueger@dixon-hayden.com,Work,Opt-In,30
jcole@example.org,Other,Opt-Out,21
tonyasmith@example.org,Unknown,Opt-In,21
lthompson@example.com,Other,Opt-In,21
myerstiffany@example.net,Other,Opt-Out,21
tbeck@yahoo.com,Personal,Opt-In,7
jjohnson@example.org,Other,Opt-Out,21
markcantu@example.net,Other,Unkown,14
paynejames@gmail.com,Personal,Opt-In,1
wilsonchelsea@example.org,Other,Opt-Out,14
ayalagarrett@hotmail.com,Home,Unkown,7
sjohnson@hotmail.com,Home,Opt-In,14
luiszimmerman@yahoo.com,Personal,Opt-In,14
kennethbutler@armstrong.info,Work,Opt-In,21
raymond68@example.com,Unknown,Opt-In,14
megan55@example.org,Unknown,Opt-In,14
robertsondanielle@hamilton.info,Work,Opt-In,14
vgarcia@example.org,Other,Opt-Out,21
obrientyler@example.net,Unknown,Unkown,21
tylergriffin@example.net,Unknown,Unkown,21
petersonleslie@example.com,Unknown,Opt-Out,14
ashleyharrell@hotmail.com,Home,Opt-In,21
wunatalie@example.com,Unknown,Opt-Out,21
amanda51@example.net,Unknown,Unkown,21
edwardsbrandon@yahoo.com,Personal,Opt-In,14
geraldlawson@example.net,Other,Opt-In,14
billy63@huang.com,Work,Opt-Out,30
rlucas@king.com,Work,Opt-In,14
angela25@hotmail.com,Personal,Unkown,7
jennifer11@brooks-mcdonald.com,Work,Opt-Out,7
austin14@cohen.com,Work,Opt-Out,14
christina17@gmail.com,Personal,Opt-In,21
rmartinez@schmitt.com,Home,Unkown,21
barrettjessica@example.org,Other,Unkown,14
angela58@example.com,Other,Opt-Out,14
sarah90@example.net,Unknown,Opt-Out,14
williamdalton@king.com,Home,Opt-In,1
glenn49@example.com,Other,Opt-Out,14
zoebowen@smith.com,Work,Opt-In,30
melissasmith@espinoza.com,Work,Opt-Out,21
nmckenzie@chang.biz,Work,Opt-In,21
robert69@example.net,Unknown,Unkown,21
brendabenson@example.org,Other,Opt-In,21
timothy46@example.org,Unknown,Opt-In,14
wgraham@example.org,Unknown,Opt-Out,14
debra19@hotmail.com,Personal,Opt-In,1
christopher26@example.net,Other,Opt-Out,14
douglas85@gmail.com,Home,Unkown,14
michaeldavis@taylor-thompson.net,Work,Opt-Out,14
yrubio@example.net,Unknown,Unkown,21
williamsontammy@example.com,Unknown,Unkown,21
shawn76@vargas.com,Work,Opt-In,30
douglasmills@example.net,Unknown,Opt-In,21
lambangela@malone.com,Work,Opt-In,14
johnsonanna@example.org,Other,Unkown,14
blewis@example.com,Other,Opt-In,14
janetmejia@example.net,Unknown,Opt-In,21
michaelcarter@example.com,Other,Opt-In,21
mollysexton@yahoo.com,Personal,Opt-In,14
whitepenny@gmail.com,Home,Opt-In,7
alexander52@gonzalez-edwards.com,Work,Opt-Out,21
shelly62@example.net,Unknown,Opt-In,14
frederickwatkins@nunez.com,Work,Opt-Out,30
zlynch@example.net,Unknown,Opt-In,14
lbutler@example.net,Other,Opt-In,14
samantha88@example.net,Unknown,Unkown,14
lynnjennifer@yahoo.com,Personal,Opt-In,1
johnsonpaige@hotmail.com,Personal,Opt-In,14
ubishop@gmail.com,Home,Opt-In,7
douglas89@example.net,Unknown,Opt-Out,14
kimberly10@gmail.com,Home,Opt-Out,7
angelagibson@gmail.com,Personal,Opt-In,7
lori45@example.org,Unknown,Opt-In,14
jessicaallen@yahoo.com,Personal,Opt-In,1
zshannon@example.com,Unknown,Unkown,14
mmendoza@example.com,Unknown,Opt-In,14
christine87@mcintosh.com,Work,Opt-In,21
qcarr@mccormick.com,Home,Unkown,7
stevencurtis@example.net,Unknown,Opt-Out,14
brewerstephanie@example.org,Unknown,Opt-In,21
qallison@jones-evans.com,Work,Opt-Out,7
jonesjeremiah@example.com,Unknown,Opt-Out,21
esnow@gmail.com,Home,Opt-In,1
bryan26@example.org,Other,Opt-In,14
christopher59@davis-smith.info,Home,Opt-In,1
gperry@yahoo.com,Personal,Opt-Out,14
eacosta@example.net,Unknown,Opt-Out,21
david85@yahoo.com,Personal,Opt-In,1
cortezderek@yahoo.com,Personal,Unkown,14
tatejerry@example.net,Unknown,Unkown,14
jennifer80@rodriguez.com,Work,Opt-Out,30
troygonzales@gmail.com,Personal,Opt-In,7
goodmanjamie@chen.com,Home,Opt-Out,1
stevenking@glenn-harper.biz,Home,Opt-In,1
martinezgeorge@haynes.com,Work,Opt-Out,14
robert40@hotmail.com,Personal,Unkown,7
pwillis@example.net,Unknown,Opt-In,21
donna34@example.com,Other,Opt-In,21
