phone_number,phone_perm,phone_freq
(237)370-7513,Opt-In,21
(662)738-4612,Opt-In,21
(416)573-6075,Opt-In,30
(337)387-0388,Opt-Out,45
(703)458-4416,Opt-In,21
(244)768-3603,Opt-In,7
(302)694-6596,Unkown,45
(802)733-4044,Opt-In,14
(261)358-7487,Opt-Out,7
(714)440-4314,Opt-In,30
(461)709-5649,Opt-In,30
(457)327-5560,Unkown,21
(223)740-7969,Opt-Out,21
(442)792-1214,Opt-In,45
(663)752-0842,Opt-Out,7
(462)717-1055,Unkown,45
(801)752-3104,Unkown,45
(326)477-3269,Opt-In,14
(673)483-4042,Unkown,30
(317)532-1026,Opt-In,7
(439)765-9550,Opt-In,45
(794)698-7170,Unkown,21
(527)315-1015,Opt-In,7
(217)552-3063,Opt-Out,14
(774)413-6417,Unkown,7
(272)652-9898,Opt-In,45
(313)463-3706,Unkown,14
(677)468-4144,Unkown,21
(364)745-2405,Opt-In,7
(623)410-2376,Opt-Out,30
(451)645-7083,Unkown,14
(213)456-4106,Opt-Out,7
(239)309-5265,Opt-Out,45
(633)494-1192,Opt-In,7
(517)348-8921,Opt-Out,14
(758)542-0858,Opt-In,30
(377)605-9192,Opt-In,30
(712)458-4466,Opt-In,14
(298)369-5006,Opt-In,30
(354)458-3840,Opt-In,7
(800)476-2698,Opt-In,45
(572)545-1180,Opt-Out,30
(688)628-1660,Unkown,30
(775)609-0696,Opt-In,45
(216)448-4118,Opt-Out,7
(458)591-4982,Unkown,14
(380)364-6259,Opt-In,7
(367)597-8430,Unkown,45
(502)463-1399,Opt-In,7
(768)579-2766,Opt-Out,14
(629)338-6967,Unkown,45
(674)569-8500,Unkown,45
(405)434-8549,Opt-In,7
(320)680-4861,Opt-In,45
(547)654-3900,Opt-In,45
(721)633-5274,Opt-Out,7
(302)712-6864,Opt-In,14
(213)692-1533,Opt-In,45
(717)338-6318,Opt-Out,30
(638)362-2128,Unkown,7
(527)552-4412,Opt-In,30
(624)387-9748,Opt-In,21
(451)638-9250,Opt-In,14
(729)442-8792,Opt-In,14
(413)750-4697,Unkown,7
(634)428-9151,Unkown,30
(612)414-7024,Opt-In,14
(455)559-4652,Unkown,21
(330)413-1035,Opt-Out,21
(422)646-3325,Unkown,45
(501)373-2481,Unkown,7
(530)702-4097,Opt-In,45
(522)459-2757,Opt-In,30
(462)463-3827,Unkown,7
(469)556-3646,Opt-In,21
(695)361-6617,Unkown,45
(625)500-3272,Opt-In,7
(753)498-4957,Opt-Out,21
(656)674-0605,Opt-Out,14
(329)758-0035,Opt-In,45
(304)620-4651,Opt-Out,45
(784)558-3959,Unkown,30
(229)377-9384,Opt-In,21
(554)446-2712,Opt-In,45
(634)687-4646,Opt-Out,30
(457)415-4343,Opt-In,14
(600)322-0590,Opt-Out,21
(596)545-7195,Opt-In,21
(472)337-5639,Opt-In,7
(345)360-4092,Opt-In,7
(622)457-7245,Opt-In,21
(460)549-6966,Unkown,14
(334)612-0630,Opt-In,14
(326)785-0107,Opt-Out,7
(370)543-3749,Unkown,14
(502)426-3297,Opt-Out,7
(206)310-3211,Opt-In,45
(232)744-0795,Opt-In,30
(623)347-0570,Opt-Out,7
(259)376-3588,Opt-In,30
(661)336-4475,Opt-Out,14
(303)617-0684,Unkown,45
(459)355-2252,Opt-Out,21
(423)583-3482,Unkown,14
(280)607-6293,Opt-In,30
(804)373-8281,Opt-In,30
(593)473-4023,Opt-In,14
(397)795-0737,Opt-In,45
(305)327-4597,Unkown,14
(201)611-8586,Opt-In,45
(767)355-5499,Unkown,30
(304)631-5046,Unkown,21
(678)560-6394,Opt-In,7
(778)578-4180,Unkown,45
(344)492-7423,Opt-In,14
(446)376-7249,Opt-In,45
(326)435-9545,Unkown,14
(549)613-6476,Opt-In,7
(452)689-5143,Opt-Out,7
(710)642-3356,Opt-In,45
(496)494-1143,Opt-In,30
(535)697-0124,Opt-In,7
(732)596-0092,Unkown,21
(554)433-7612,Opt-Out,30
(759)404-7172,Unkown,7
(253)748-3534,Opt-In,21
(488)682-6097,Opt-Out,30
(394)684-8576,Unkown,7
(422)605-2135,Opt-In,14
(777)794-2022,Opt-In,7
(484)649-6355,Opt-In,21
(376)373-2401,Opt-Out,14
(254)704-5093,Opt-In,30
(520)368-1549,Opt-In,30
(243)521-4419,Opt-In,30
(316)532-3154,Opt-In,14
(373)406-6568,Opt-Out,7
(520)512-0951,Opt-In,14
(406)546-6654,Opt-In,45
(729)583-3029,Opt-In,30
(756)393-9957,Opt-In,30
(571)334-6862,Unkown,14
(249)723-8994,Opt-Out,30
(642)692-8813,Unkown,30
(373)368-4108,Unkown,45
(540)644-1530,Unkown,7
(531)465-5003,Opt-Out,21
(659)673-2464,Unkown,30
(560)467-6200,Opt-In,45
(436)414-2730,Opt-In,14
(452)682-3986,Unkown,14
(377)509-7946,Unkown,14
(751)761-2926,Opt-Out,21
(707)340-8956,Unkown,7
(328)429-9980,Opt-In,7
(380)664-2342,Opt-Out,7
(221)718-2252,Opt-In,45
(465)424-4249,Opt-Out,21
(365)719-5927,Unkown,21
(642)582-5959,Opt-Out,21
(575)467-6442,Opt-In,7
(440)608-3662,Opt-Out,45
(764)634-9306,Unkown,30
(320)429-5270,Opt-Out,45
(218)521-1783,Opt-In,45
(659)643-3577,Opt-In,30
(662)638-1763,Opt-In,14
(472)389-6452,Opt-Out,14
(533)743-1142,Opt-In,45
(543)508-9311,Unkown,21
(300)391-8490,Opt-Out,21
(726)327-7197,Opt-In,21
(423)429-3249,Opt-Out,14
(790)528-6700,Unkown,45
(719)750-8766,Opt-In,21
(618)642-2838,Opt-In,21
(426)703-7170,Opt-In,30
(296)458-9406,Unkown,21
(439)409-3300,Unkown,7
(662)763-5611,Unkown,14
(273)307-9820,Opt-In,14
(382)504-5353,Unkown,7
(689)528-1591,Opt-Out,30
(400)610-6229,Opt-In,21
(461)376-2102,Opt-In,45
(397)773-1517,Opt-In,7
(772)481-3220,Opt-In,21
(571)438-1908,Opt-In,30
(333)438-4431,Opt-In,14
(663)327-4291,Opt-In,7
(603)320-9355,Opt-In,14
(503)620-6356,Opt-Out,30
(415)379-9033,Opt-In,7
(487)678-6230,Opt-In,7
(583)428-7115,Unkown,21
(374)441-7271,Opt-Out,21
(597)678-6272,Opt-In,7
(776)774-4369,Opt-In,7
(429)472-0630,Opt-In,30
(493)674-9959,Opt-In,30
(529)747-3313,Opt-Out,7
(404)394-5261,Opt-In,30
(777)727-9332,Opt-In,21
(348)758-1947,Unkown,21
(585)688-2978,Opt-In,21
(491)626-0932,Unkown,7
(385)775-6495,Opt-Out,30
(500)663-1383,Opt-In,21
(678)572-0787,Opt-Out,45
(510)410-0434,Opt-In,45
(685)774-9572,Opt-In,21
(215)445-6697,Opt-In,21
(677)632-0212,Opt-In,7
(411)429-4424,Opt-Out,21
(335)734-5077,Opt-In,7
(732)662-4235,Unkown,14
(283)656-2247,Opt-Out,14
(621)525-3205,Opt-Out,45
(780)449-5664,Unkown,45
(256)477-1128,Opt-In,7
(663)392-1821,Opt-Out,45
(532)675-2544,Opt-Out,21
(749)324-2739,Opt-Out,30
(495)728-0888,Opt-In,30
(563)418-3507,Opt-In,7
(458)697-7952,Opt-In,30
(510)748-7073,Opt-Out,14
(298)720-0433,Opt-Out,21
(429)657-6132,Opt-Out,14
(738)765-1211,Opt-Out,14
(462)711-7796,Opt-In,21
(544)606-5266,Opt-Out,14
(623)460-3574,Opt-In,14
(713)371-5725,Opt-In,21
(356)568-2474,Unkown,7
(629)658-6063,Opt-In,21
(610)614-1040,Opt-In,14
(448)527-6294,Opt-In,7
(611)597-2944,Unkown,30
(576)510-4593,Opt-In,45
(752)358-0694,Opt-Out,45
(792)523-7359,Opt-In,21
(523)444-5547,Opt-In,45
(322)491-2862,Opt-In,45
(734)326-5579,Opt-In,21
(453)571-9825,Opt-In,45
(441)620-6584,Opt-In,45
(599)627-9438,Opt-In,7
(791)787-5575,Unkown,7
(321)350-9410,Opt-In,14
(580)752-8386,Unkown,7
(581)397-4998,Opt-Out,7
(205)516-4017,Unkown,45
(212)515-0608,Opt-Out,7
(329)696-3047,Opt-In,7
(354)362-4189,Opt-Out,7
(613)571-7451,Unkown,30
(276)397-8429,Opt-Out,14
(679)391-4994,Opt-In,30
(537)521-3057,Opt-Out,14
(714)532-8115,Opt-In,21
(796)696-5457,Opt-In,45
(295)727-4091,Unkown,45
(650)606-9493,Opt-Out,30
(589)771-9108,Opt-Out,45
(358)607-5042,Opt-Out,21
(548)598-4789,Opt-In,45
(264)358-8397,Opt-In,45
(499)693-1208,Opt-In,30
(666)706-4703,Opt-In,14
(489)420-4003,Unkown,7
(550)339-3226,Opt-In,7
(222)466-6263,Opt-Out,14
(380)693-9840,Opt-Out,21
(350)763-2341,Opt-In,14
(603)432-0702,Opt-In,14
(251)351-2622,Opt-Out,7
(389)723-5196,Opt-In,45
(622)631-9747,Unkown,21
(323)785-1925,Opt-In,21
(217)325-4144,Opt-In,45
(325)530-2364,Unkown,45
(428)552-4266,Opt-Out,14
(678)788-8297,Opt-In,45
(251)382-2047,Opt-In,21
(458)320-8579,Opt-Out,21
(428)596-5722,Opt-Out,14
(565)593-0410,Opt-In,30
(350)639-8753,Opt-Out,45
(364)493-2868,Opt-Out,30
(449)648-9335,Opt-Out,45
(307)660-7375,Opt-In,21
(490)366-7169,Opt-In,30
(300)797-8932,Opt-In,21
(450)672-6642,Opt-Out,21
(343)795-6758,Unkown,45
(456)704-6944,Unkown,30
(522)396-9624,Opt-In,14
(448)331-1209,Opt-In,30
(792)497-9075,Unkown,21
(623)612-7108,Opt-Out,21
(631)442-3020,Unkown,14
(738)673-3861,Opt-Out,21
(767)404-8727,Opt-In,14
(251)310-4663,Unkown,45
(240)518-5405,Opt-In,14
(572)466-7799,Unkown,30
(627)534-7663,Opt-Out,14
(326)738-4849,Opt-In,7
(605)583-5300,Opt-In,21
(579)685-6826,Opt-In,7
(712)658-3855,Opt-In,45
(584)355-6095,Unkown,7
(581)788-5334,Opt-In,45
(350)444-8077,Opt-In,14
(402)379-2107,Opt-In,30
(623)507-1454,Opt-Out,14
(700)574-7880,Unkown,30
(230)635-4571,Opt-Out,7
(443)434-9880,Opt-In,21
(557)721-2382,Opt-In,30
(432)561-6180,Opt-Out,7
(703)580-7487,Opt-Out,45
(800)406-0536,Opt-Out,21
(654)709-8753,Opt-In,21
(724)633-0432,Opt-In,30
(551)681-5062,Opt-In,21
(799)764-9340,Opt-Out,45
(360)368-2625,Opt-In,45
(354)478-6657,Opt-In,45
(748)492-4652,Unkown,7
(472)762-6379,Opt-In,14
(518)399-4353,Opt-Out,7
(430)705-2433,Unkown,30
(575)415-1790,Opt-Out,14
(683)565-7805,Opt-In,21
(521)694-4066,Unkown,30
(293)572-1683,Opt-In,14
(509)681-0999,Unkown,14
(769)766-3940,Unkown,21
(308)726-8394,Opt-In,14
(693)313-1741,Opt-In,45
(426)501-9594,Opt-In,14
(736)324-0267,Opt-In,7
(201)448-0113,Opt-Out,21
(604)384-7623,Opt-In,7
(394)652-8258,Opt-In,7
(354)583-4865,Opt-In,30
(663)543-5959,Opt-Out,21
(638)674-6820,Unkown,21
(521)465-1991,Opt-Out,14
(279)492-8217,Opt-Out,21
(371)706-0566,Unkown,30
(690)734-4185,Opt-Out,14
(460)481-1084,Opt-Out,45
(740)518-0450,Opt-In,7
(442)409-3568,Unkown,21
(471)614-1951,Opt-Out,30
(447)716-5145,Opt-Out,7
(440)793-5611,Unkown,45
(374)308-2010,Opt-In,30
(502)342-5383,Opt-In,45
(750)685-4364,Opt-In,14
(495)395-4246,Opt-In,7
(663)466-6931,Opt-In,45
(548)544-2028,Opt-In,30
(600)518-2635,Opt-In,21
(759)443-1736,Opt-In,7
(692)727-0827,Unkown,7
(540)788-4403,Opt-In,21
(289)579-2444,Opt-In,14
(515)565-6685,Opt-In,30
(212)382-9345,Unkown,21
(268)454-5969,Unkown,21
(566)637-6244,Opt-Out,7
(700)653-0659,Opt-In,7
(609)532-0581,Unkown,45
(473)487-2391,Opt-Out,7
(545)772-8075,Unkown,30
(590)376-6017,Opt-In,30
(623)413-7920,Opt-In,30
(666)627-6417,Unkown,7
(546)729-1310,Opt-In,30
(729)463-4107,Unkown,21
(699)572-7083,Opt-In,21
(454)310-6432,Opt-In,7
(305)605-9210,Opt-In,45
(279)494-0546,Opt-In,45
(636)371-3504,Opt-In,45
(305)478-9810,Opt-In,14
(641)576-4558,Opt-In,14
(598)442-1079,Opt-Out,45
(237)349-1013,Opt-Out,45
(563)781-2039,Opt-Out,14
(715)644-7560,Opt-In,21
(401)576-4014,Unkown,45
(703)614-5510,Opt-In,7
(409)390-4618,Opt-Out,45
(384)561-2140,Opt-In,7
(581)455-4225,Opt-In,21
(547)355-1094,Opt-Out,7
(644)547-3713,Opt-In,45
(321)731-7815,Opt-In,45
(772)727-0853,Unkown,21
(282)337-9226,Unkown,30
(737)573-7488,Opt-Out,21
(242)740-2613,Unkown,7
(421)605-8175,Unkown,14
(727)662-6036,Opt-Out,30
(260)644-2954,Unkown,45
(633)650-6015,Opt-In,21
(617)509-5626,Opt-In,7
(403)797-7990,Unkown,30
(735)601-3488,Unkown,7
(363)628-2527,Unkown,7
(778)505-5519,Opt-In,14
(248)773-2959,Opt-Out,30
(488)677-8753,Opt-In,7
(452)583-1249,Opt-In,21
(789)481-9634,Opt-In,14
(441)488-7151,Opt-Out,7
(230)602-4641,Opt-In,14
(493)319-5930,Opt-Out,14
(306)367-9504,Opt-Out,30
(526)535-7018,Opt-In,21
(203)485-9219,Unkown,7
(515)514-7858,Opt-Out,21
(581)445-9391,Unkown,45
(695)556-3488,Opt-In,45
(210)517-3782,Opt-In,45
(768)665-0038,Unkown,45
(323)402-8319,Unkown,14
(237)553-9098,Unkown,14
(220)551-7943,Unkown,7
(397)643-9316,Unkown,30
(505)672-5233,Opt-Out,45
(649)665-4141,Opt-In,7
(413)652-8483,Opt-Out,7
(340)666-5474,Opt-Out,14
(462)448-8704,Opt-Out,30
(524)690-9771,Opt-In,21
(448)575-3697,Unkown,21
(399)553-0366,Opt-In,21
(254)382-6288,Unkown,21
(586)501-1492,Opt-In,45
(319)589-1292,Opt-In,7
(722)538-0937,Unkown,30
(751)310-6053,Opt-In,7
(523)435-6185,Opt-In,21
(770)590-8102,Opt-Out,45
(796)530-5976,Opt-In,45
(474)671-8576,Opt-In,7
(697)764-8639,Opt-In,45
(231)376-5964,Opt-In,45
(253)583-4491,Opt-Out,14
(612)419-5576,Unkown,7
(784)442-9809,Opt-In,14
(668)575-6167,Unkown,7
(800)517-0487,Opt-In,30
(309)327-3835,Opt-In,45
(381)633-5331,Opt-In,14
(386)496-2536,Opt-In,14
(593)500-5911,Opt-Out,45
(222)623-0878,Opt-Out,21
(669)647-0676,Opt-Out,7
(464)374-2623,Unkown,45
(494)438-8946,Unkown,30
(477)603-8704,Unkown,7
(394)684-5483,Opt-In,14
(531)744-0644,Unkown,7
(454)454-7495,Unkown,14
(536)606-5078,Unkown,45
(306)564-3952,Opt-In,7
(649)534-4004,Opt-In,14
(680)613-1122,Unkown,14
(254)586-3306,Unkown,45
(610)612-3043,Opt-In,14
(398)589-7667,Opt-In,7
(670)671-6260,Unkown,7
(537)796-2682,Opt-In,21
(325)611-7186,Unkown,14
(733)411-3197,Unkown,14
(732)416-9582,Opt-Out,7
(212)502-8993,Opt-In,14
(487)561-8044,Opt-Out,30
(471)505-2640,Opt-In,30
(489)379-4197,Opt-Out,30
(779)699-3836,Unkown,45
(589)608-9394,Unkown,30
(349)624-6018,Opt-In,14
(322)329-8232,Opt-Out,21
(309)577-0459,Unkown,30
(440)446-9216,Opt-In,45
(232)654-1874,Opt-Out,14
(618)388-2811,Opt-In,30
(548)392-3422,Unkown,30
(547)664-9607,Opt-Out,14
(215)608-1406,Unkown,45
(596)346-2487,Unkown,14
(521)634-6622,Opt-In,7
(509)663-3366,Opt-In,45
(591)593-5657,Opt-In,30
(484)711-6593,Opt-In,7
(752)663-8316,Unkown,7
(263)564-9448,Opt-Out,30
(796)599-7729,Opt-In,7
(776)404-3026,Opt-In,30
(235)361-9890,Unkown,45
(689)609-7655,Unkown,21
(469)686-2947,Opt-In,7
(469)643-7006,Opt-In,21
(717)410-4969,Opt-In,7
(702)509-2031,Opt-In,45
(379)781-7181,Opt-In,45
(520)473-9738,Unkown,30
(720)330-7196,Opt-In,14
(743)551-9959,Opt-In,45
(508)592-1309,Unkown,7
(349)475-7827,Opt-In,7
(306)443-9831,Unkown,45
(343)758-0745,Opt-In,21
(738)368-6540,Opt-Out,14
(385)723-9715,Opt-Out,45
(726)608-1118,Opt-In,30
(266)797-3510,Opt-In,14
(562)593-4836,Opt-In,30
(350)593-3768,Opt-In,45
(444)414-2028,Unkown,14
(270)708-6829,Opt-In,7
(368)419-4325,Opt-In,14
(201)548-5302,Unkown,7
(782)719-7612,Opt-In,14
(240)492-2908,Opt-Out,21
(421)425-6571,Opt-In,21
(792)518-5395,Opt-Out,14
(586)423-0346,Opt-Out,21
(216)346-1157,Opt-In,7
(442)540-1187,Opt-In,7
(438)580-2064,Opt-In,14
(292)361-4839,Opt-Out,7
(527)664-0518,Unkown,45
(563)552-3206,Opt-Out,45
(559)601-0796,Opt-In,45
(339)442-8910,Opt-Out,21
(407)373-2374,Opt-Out,30
(428)743-0946,Opt-In,7
(449)738-7823,Opt-Out,7
(664)487-6838,Opt-In,21
(221)312-6922,Opt-In,7
(485)645-2027,Opt-In,45
(287)369-0432,Opt-In,21
(479)546-6772,Opt-In,21
(228)545-3804,Opt-In,7
(244)312-6349,Opt-Out,7
(658)555-1743,Opt-Out,30
(229)382-6609,Opt-Out,7
(501)404-0260,Opt-Out,14
(377)718-2647,Opt-In,30
(588)441-7427,Opt-In,14
(562)503-3770,Opt-In,30
(598)744-1936,Opt-Out,14
(462)575-5445,Opt-Out,7
(519)766-1576,Opt-Out,45
(801)539-3529,Opt-In,45
(347)317-7034,Opt-In,14
(772)721-8264,Opt-Out,45
(274)751-9408,Opt-In,7
(350)415-4434,Unkown,21
(308)578-3340,Opt-Out,21
(494)427-3939,Opt-Out,45
(800)601-8405,Opt-In,14
(514)667-9403,Opt-In,45
(721)704-9338,Opt-In,14
(375)538-4988,Opt-Out,7
(330)699-3611,Opt-In,7
(216)407-1562,Unkown,14
(505)498-2237,Opt-Out,21
(472)352-3033,Unkown,14
(352)682-5200,Opt-In,14
(511)693-9402,Unkown,7
(629)719-5330,Opt-Out,14
(307)631-6647,Opt-In,30
(424)613-2896,Opt-In,21
(614)376-7563,Opt-Out,45
(760)609-3767,Opt-In,45
(329)482-8517,Opt-In,7
(673)666-8576,Opt-Out,21
(303)357-8427,Opt-In,14
(543)629-1400,Unkown,14
(254)626-6253,Opt-In,7
(518)575-1388,Opt-In,30
(405)651-9028,Unkown,7
(316)520-2812,Opt-In,14
(206)737-7543,Opt-In,7
(595)371-3779,Unkown,7
(756)590-3859,Opt-Out,21
(768)389-0125,Opt-Out,14
(412)540-1130,Unkown,7
(492)426-4996,Opt-In,14
(426)584-5937,Opt-Out,30
(373)759-4489,Opt-In,30
(225)632-4872,Opt-Out,14
(491)499-8256,Unkown,45
(380)698-5913,Opt-In,21
(281)559-6898,Opt-Out,21
(735)593-9382,Unkown,21
(607)500-6090,Opt-In,21
(275)401-3325,Unkown,45
(240)573-6547,Opt-In,45
(402)336-4828,Unkown,21
(627)713-4557,Opt-In,14
(287)720-8876,Unkown,45
(349)502-5436,Opt-Out,21
(446)728-8439,Opt-Out,45
(668)784-5627,Opt-In,21
(351)675-0288,Opt-Out,30
(481)372-0245,Unkown,30
(317)613-5299,Opt-In,21
(781)535-4842,Unkown,14
(668)387-7953,Opt-In,21
(626)400-2365,Opt-In,21
(571)313-1119,Opt-Out,7
(744)619-0847,Opt-Out,45
(321)748-7545,Unkown,21
(348)501-2985,Opt-Out,45
(635)541-0838,Unkown,30
(355)607-6977,Opt-Out,14
(361)589-7018,Unkown,7
(556)663-2989,Opt-In,14
(581)776-6417,Opt-In,14
(549)585-2075,Opt-Out,14
(784)342-5263,Unkown,14
(255)540-2161,Opt-In,21
(575)504-8171,Opt-Out,45
(466)410-1792,Opt-Out,30
(503)468-8236,Unkown,7
(658)418-0865,Opt-Out,45
(532)353-0381,Unkown,7
(323)429-6546,Unkown,14
(493)417-9105,Opt-Out,21
(405)506-0588,Opt-In,7
(226)485-3959,Opt-In,30
(660)539-5351,Opt-In,7
(596)747-6405,Opt-In,14
(278)761-8326,Opt-In,7
(481)664-5468,Opt-In,45
(649)416-9990,Unkown,7
(688)540-3253,Unkown,14
(748)462-4724,Opt-In,45
(690)651-6286,Opt-In,45
(213)562-8934,Opt-In,21
(376)617-6954,Unkown,21
(504)603-7333,Opt-Out,30
(290)760-6911,Unkown,45
(455)465-5282,Opt-In,14
(222)418-5574,Unkown,21
(485)355-2935,Opt-In,7
(563)636-8716,Opt-In,30
(435)598-9302,Opt-In,21
(491)339-7706,Opt-In,14
(777)346-8331,Opt-In,7
(564)658-6496,Opt-In,7
(466)309-3188,Opt-In,14
(636)626-4295,Unkown,7
(335)775-9635,Opt-Out,21
(646)458-0006,Unkown,21
(521)723-9835,Opt-In,21
(685)483-9711,Opt-Out,21
(243)628-7887,Opt-Out,30
(585)636-3289,Opt-Out,45
(605)773-4870,Unkown,45
(551)490-9053,Opt-In,45
(255)589-4487,Opt-Out,7
(442)628-1892,Opt-In,7
(615)793-0968,Opt-In,21
(744)345-0341,Opt-Out,21
(457)334-2476,Unkown,21
(770)335-2525,Opt-In,7
(780)679-4211,Unkown,14
(240)531-6332,Unkown,14
(280)422-7102,Unkown,21
(600)321-5690,Opt-In,14
(262)775-3727,Unkown,30
(562)457-2309,Opt-In,30
(614)474-9269,Unkown,14
(613)703-7954,Opt-Out,14
(201)481-4569,Opt-In,30
(386)686-1700,Opt-In,21
(692)500-7557,Opt-Out,45
(559)361-6882,Opt-Out,14
(363)756-8539,Unkown,45
(329)780-2673,Unkown,45
(498)354-7154,Unkown,14
(726)541-6132,Opt-Out,7
(383)399-0097,Opt-In,14
(491)633-1279,Opt-In,45
(770)757-6529,Opt-In,45
(349)597-4847,Opt-Out,45
(634)471-5118,Opt-In,14
(249)367-4675,Opt-Out,7
(415)403-8599,Opt-Out,14
(257)369-0013,Opt-Out,45
(758)737-8814,Opt-In,45
(755)398-6600,Opt-In,7
(457)317-8918,Opt-Out,21
(298)602-2403,Opt-In,30
(749)679-5557,Opt-In,14
(727)561-1656,Unkown,14
(705)601-2094,Unkown,14
(442)502-6430,Opt-Out,45
(579)699-1744,Unkown,21
(684)455-5288,Opt-In,14
(668)393-9542,Opt-In,14
(460)460-8580,Opt-Out,7
(352)383-7673,Opt-In,30
(728)768-8930,Opt-In,45
(323)580-6505,Unkown,45
(460)760-0182,Unkown,21
(801)631-5152,Opt-In,30
(254)625-3436,Opt-In,45
(542)706-5311,Opt-Out,30
(252)645-6637,Opt-In,7
(452)773-0888,Opt-In,30
(704)745-3639,Opt-Out,21
(374)634-7748,Unkown,21
(564)519-9039,Opt-Out,30
(644)584-3564,Opt-In,21
(714)530-5153,Opt-In,21
(321)765-8737,Opt-In,14
(270)735-1282,Opt-Out,7
(592)684-4828,Opt-In,14
(248)534-2859,Opt-In,30
(405)478-5412,Opt-Out,21
(377)527-4707,Opt-In,21
(695)616-0033,Opt-In,21
(522)766-1110,Opt-Out,30
(246)611-3083,Opt-Out,7
(656)399-4967,Unkown,21
(604)536-7244,Opt-In,7
(662)367-5907,Opt-Out,14
(632)362-3439,Opt-Out,45
(603)786-7536,Unkown,14
(469)375-2087,Opt-Out,30
(364)754-3938,Unkown,45
(344)535-8321,Opt-In,7
(757)693-2273,Opt-In,30
(787)788-3024,Opt-Out,7
(774)348-1047,Opt-Out,14
(480)723-6027,Opt-In,14
(228)538-4491,Unkown,7
(276)654-0586,Opt-In,7
(292)641-2034,Opt-In,7
(206)399-3966,Opt-In,14
(352)384-7023,Unkown,45
(576)536-0962,Opt-In,30
(591)750-0849,Opt-In,45
(670)797-2417,Opt-In,45
(433)575-1377,Opt-In,45
(711)480-9320,Opt-In,14
(431)735-7892,Opt-In,45
(532)748-6182,Opt-In,7
(641)450-1113,Opt-Out,45
(525)647-0677,Unkown,30
(497)316-3268,Opt-In,45
(793)530-8492,Unkown,14
(453)525-3276,Opt-In,21
(553)716-4765,Unkown,7
(521)711-9751,Opt-In,21
(208)760-7542,Unkown,14
(444)712-9226,Unkown,45
(355)637-1054,Opt-In,7
(300)346-3729,Opt-In,7
(336)438-5614,Unkown,45
(751)745-8534,Unkown,30
(659)716-5157,Unkown,30
(292)583-6124,Opt-In,14
(496)530-0712,Unkown,14
(657)520-1914,Opt-In,30
(438)358-8462,Opt-In,45
(407)678-4516,Opt-Out,14
(803)545-2625,Opt-In,30
(277)451-5413,Opt-In,45
(592)452-1529,Opt-In,14
(557)743-0359,Opt-In,30
(590)494-6070,Unkown,7
(654)421-5562,Opt-In,7
(632)406-3321,Opt-Out,45
(423)378-2065,Unkown,45
(777)361-4435,Opt-In,7
(472)663-1448,Opt-Out,7
(591)476-1318,Opt-In,45
(250)348-0604,Opt-In,30
(668)372-2933,Opt-In,45
(342)497-6513,Opt-In,45
(474)684-4578,Opt-In,45
(333)566-8941,Opt-In,14
(270)303-3843,Unkown,7
(698)780-4943,Opt-In,14
(678)729-6970,Opt-Out,14
(705)457-8306,Opt-In,30
(694)686-7287,Opt-In,45
(751)370-9914,Opt-Out,7
(666)774-8595,Opt-In,14
(506)772-2254,Opt-Out,14
(287)629-0603,Unkown,45
(694)383-5884,Opt-Out,7
(318)690-3676,Unkown,14
(540)389-8825,Opt-Out,21
(704)386-4113,Opt-In,30
(359)354-2842,Unkown,21
(540)435-9183,Unkown,21
(515)726-2376,Opt-In,45
(733)397-1728,Opt-Out,14
(482)494-2476,Opt-Out,21
(379)763-0394,Opt-Out,21
(753)525-5112,Opt-In,45
(379)662-1378,Unkown,7
(309)402-4699,Opt-Out,7
(632)692-4594,Opt-In,30
(756)328-6881,Opt-In,14
(774)766-9701,Opt-Out,30
(574)658-2542,Unkown,14
(262)686-5326,Opt-In,45
(679)534-9358,Unkown,45
(467)771-5524,Unkown,7
(803)602-4020,Opt-Out,21
(460)761-6521,Opt-In,30
(599)447-2481,Unkown,21
(207)507-1733,Opt-Out,21
(470)466-9799,Opt-In,14
(478)414-6642,Opt-Out,30
(420)584-1011,Opt-Out,7
(574)534-8477,Opt-In,30
(468)501-3951,Opt-In,45
(325)488-7259,Unkown,30
(526)792-1515,Opt-In,21
(242)345-8370,Opt-In,45
(537)329-6943,Unkown,7
(372)381-6754,Opt-Out,21
(337)601-1735,Opt-In,30
(696)427-8838,Opt-Out,21
(566)678-4543,Unkown,14
(212)413-7686,Opt-In,21
(615)579-2751,Opt-In,21
(342)470-7025,Opt-In,30
(251)510-2552,Unkown,21
(748)787-8234,Opt-In,14
(387)558-5254,Opt-Out,30
(526)577-0191,Opt-In,21
(454)336-0010,Opt-In,7
(263)782-1387,Opt-In,45
(635)729-1094,Opt-In,21
(558)591-2849,Unkown,21
(316)712-4132,Opt-Out,14
(599)652-2249,Opt-In,45
(228)343-3526,Opt-In,45
(242)438-5965,Opt-Out,21
(598)740-5683,Opt-Out,45
(778)676-5504,Unkown,21
(667)771-2267,Opt-In,45
(381)495-1363,Opt-Out,21
(535)504-4335,Opt-Out,14
(598)409-0639,Opt-Out,21
(651)626-0295,Opt-In,14
(337)722-4647,Opt-Out,14
(786)452-1003,Opt-Out,7
(247)317-4786,Opt-In,7
(532)443-0216,Opt-In,45
(596)626-2004,Opt-Out,30
(636)567-8409,Opt-In,14
(617)568-2935,Opt-In,21
(746)327-4788,Opt-In,45
(490)331-0088,Opt-In,14
